B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,B13,B14,B15,B16
B,0,55,51,12,47,23,67,46,20,71,64,43,6,59,34
B,1,10,61,37,16,58,56,18,58,52,14,36,16,15,61
B,2,73,25,9,67,13,52,33,63,11,62,64,13,4,15
B,3,9,59,7,20,6,48,72,10,7,59,26,67,66,12
B,4,34,8,12,37,24,63,48,40,37,51,7,42,54,55
B,5,42,58,37,41,16,6,10,4,53,52,59,35,74,39
B,6,0,25,67,19,34,13,40,63,51,65,59,20,65,49
B,7,24,19,34,69,68,45,30,3,45,20,46,20,71,52
B,8,28,58,30,1,51,64,5,2,56,23,67,52,46,35
B,9,24,72,73,24,23,42,61,29,42,41,26,58,4,8
B,10,43,17,30,12,67,64,64,15,48,29,66,24,9,32
B,11,49,16,69,49,2,5,41,46,40,45,7,52,30,1
B,12,18,73,57,34,33,1,35,45,27,37,63,3,65,67
B,13,58,53,72,31,4,45,42,22,6,58,11,60,4,20
B,14,58,33,38,61,0,36,10,54,63,12,61,22,18,7
B,15,38,29,34,61,32,47,60,6,44,6,74,4,64,41
B,16,32,22,56,7,17,71,45,6,47,38,24,55,63,60
B,17,12,1,26,61,30,63,57,46,4,18,7,3,21,40
B,18,22,29,19,32,9,10,61,38,71,29,61,13,22,73
B,19,3,11,6,66,18,47,21,12,15,57,2,26,58,2
B,1,55,43,35,60,58,56,7,46,6,52,44,11,64,5
B,34,20,18,31,62,13,41,64,33,3,23,15,65,16,54
B,60,38,1,5,2,30,45,51,14,17,4,10,16,24,72
B,32,44,72,18,39,13,63,43,0,32,15,69,10,26,56
B,25,40,37,15,36,54,6,24,34,23,9,42,72,47,27
B,39,9,3,20,38,41,41,62,28,15,3,29,50,27,16
B,69,73,43,67,40,32,3,17,18,48,12,17,26,34,6
B,38,64,46,54,60,18,72,5,43,74,12,67,50,15,74
B,58,49,5,12,0,71,29,13,20,29,12,42,53,55,4
B,66,28,65,72,26,30,55,1,41,5,20,8,69,45,50
B,57,39,33,21,27,7,40,74,65,27,55,57,13,73,52
B,3,16,62,23,20,19,65,68,29,49,27,60,38,42,10
B,32,54,51,22,62,63,23,21,37,54,8,34,32,22,12
B,29,3,23,68,51,18,43,13,56,63,21,56,20,47,54
B,18,66,39,30,10,23,38,47,46,56,10,40,62,55,70
B,68,39,45,35,52,22,60,53,24,20,19,56,39,39,3
B,14,48,73,52,49,14,11,51,59,6,24,72,14,33,61
B,64,50,6,7,28,57,43,66,25,72,62,48,63,30,44
B,27,48,19,46,49,69,31,35,18,62,13,44,12,74,64
B,41,67,50,5,25,11,7,17,64,57,21,0,20,8,4
B,69,49,21,45,23,72,15,4,6,2,31,14,3,27,13
B,71,74,57,28,49,43,48,43,23,57,72,42,7,21,54
B,38,35,65,63,7,51,58,59,49,11,25,3,44,57,9
B,0,33,2,73,41,69,60,40,15,11,10,24,30,53,36
B,30,53,28,12,70,72,38,9,8,8,62,57,62,48,40
B,26,39,32,4,64,45,46,20,39,59,41,19,66,10,51
B,66,46,54,33,40,4,35,44,14,55,38,25,0,72,34
B,3,30,57,9,42,50,25,8,18,45,35,54,54,45,6
B,19,69,11,68,48,3,10,8,33,4,34,31,16,36,6
B,35,66,33,72,0,58,53,51,62,64,23,66,6,68,24
B,19,22,30,45,23,17,50,23,14,68,1,30,4,41,58
B,50,31,45,45,45,65,64,12,57,4,23,16,2,17,33
B,64,74,12,51,32,16,68,40,17,47,55,37,47,68,20
B,38,49,57,54,52,72,11,9,27,1,26,22,18,45,38
B,21,38,47,4,18,14,16,67,38,11,21,46,13,62,24
B,60,48,37,73,47,54,8,47,24,21,5,48,62,2,8
B,4,46,9,35,57,66,72,61,46,36,13,8,63,60,73
B,60,74,26,41,0,68,29,0,12,35,32,49,42,3,58
B,26,26,27,37,38,37,47,24,36,15,13,4,39,72,47
B,72,48,66,33,61,67,22,27,52,55,11,50,43,7,9
B,68,69,45,58,12,65,19,56,72,62,7,45,34,63,43
B,17,69,27,61,44,3,37,42,50,66,41,6,25,33,0
B,24,57,2,40,70,5,70,22,67,0,25,47,67,35,37
B,35,71,14,0,50,15,26,41,15,48,64,49,59,54,39
B,13,61,13,31,17,0,57,45,31,45,15,14,23,26,4
B,33,64,4,5,54,34,40,12,13,9,18,24,43,25,17
B,23,65,3,22,13,12,0,51,37,5,54,56,61,21,37
B,9,68,9,27,67,9,63,40,9,61,50,74,0,46,40
B,11,34,15,49,57,19,63,0,23,60,12,57,1,56,34
B,25,30,3,4,2,53,29,10,41,55,43,30,63,46,36
B,16,39,43,3,55,35,70,1,19,46,43,45,17,14,17
B,38,10,14,17,10,41,53,64,7,23,32,54,37,13,36
B,42,0,15,1,15,32,50,47,23,28,30,32,5,17,12
B,14,49,71,25,61,18,71,66,70,62,39,51,5,3,42
B,54,22,54,4,49,1,42,38,10,29,50,64,54,73,19
B,21,28,59,53,26,24,10,57,51,12,72,4,17,58,5
B,46,65,36,28,3,30,52,35,8,28,36,4,68,45,31
B,5,35,14,57,42,34,33,11,44,4,69,9,36,41,52
B,29,69,61,47,39,23,14,72,41,3,15,45,70,47,62
B,38,13,62,47,33,20,47,73,14,4,1,14,19,74,46
B,54,69,17,15,59,11,25,52,21,55,16,29,40,39,9
B,55,62,2,17,70,19,26,72,67,74,36,22,7,23,26
B,45,10,38,73,5,57,2,1,15,40,18,41,49,53,60
B,5,37,2,13,69,12,29,72,73,20,47,70,43,2,18
B,12,48,21,27,6,60,28,5,63,18,42,14,50,28,42
B,24,42,43,67,28,52,43,59,17,56,36,51,14,14,18
B,37,69,49,6,49,30,59,28,63,25,58,55,71,1,33
B,58,16,1,11,2,3,59,33,19,63,25,70,71,59,74
B,17,53,40,60,69,38,57,20,10,51,61,17,2,44,74
